IP Address,Process Name,Service Name,Country,Local Port,Remote Port,Process Path,Protocol
185.199.111.133,powershell,cdn-185-199-111-133.github.com,United States,49793,443,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,TCP
204.79.197.222,SearchHost,Unknown,Canada,49792,443,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
158.23.16.71,SearchHost,Unknown,Mexico,49791,443,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
52.123.129.254,SearchHost,Unknown,United States,49790,443,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
152.195.38.76,SearchHost,Unknown,Japan,49789,80,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
117.18.232.200,SearchHost,Unknown,Indonesia,49788,443,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
184.84.238.155,SearchHost,a184-84-238-155.deploy.static.akamaitechnologies.com,Australia,49787,443,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,TCP
140.82.114.22,msedge,lb-140-82-114-22-iad.github.com,United States,49786,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
140.82.114.22,msedge,lb-140-82-114-22-iad.github.com,United States,49785,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
4.237.22.34,msedge,Unknown,Australia,49784,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
20.189.173.14,msedge,Unknown,United States,49783,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
23.62.8.131,msedge,a23-62-8-131.deploy.static.akamaitechnologies.com,Australia,49782,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
146.75.74.172,svchost,Unknown,United Kingdom,49781,80,C:\Windows\System32\svchost.exe,TCP
131.253.33.239,msedge,Unknown,United States,49780,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
204.79.197.239,Idle,Unknown,Canada,49774,443,,TCP
40.126.14.162,Idle,Unknown,Australia,49763,443,,TCP
20.190.167.18,Idle,Unknown,Australia,49762,443,,TCP
13.107.246.32,Idle,Unknown,Canada,49761,443,,TCP
52.226.139.121,svchost,Unknown,United States,49756,443,C:\Windows\system32\svchost.exe,TCP
204.79.197.237,Idle,Unknown,Canada,49755,443,,TCP
13.107.246.31,Idle,Unknown,Canada,49754,443,,TCP
13.69.116.109,Idle,Unknown,Netherlands,49753,443,,TCP
204.79.197.203,Idle,a-0003.a-msedge.net,Canada,49745,443,,TCP
13.107.6.158,msedge,bingforbusiness.com,United States,49744,443,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,TCP
13.107.6.158,Idle,bingforbusiness.com,United States,49743,443,,TCP
13.69.116.109,Idle,Unknown,Netherlands,49742,443,,TCP
13.107.246.32,Idle,Unknown,Canada,49740,443,,TCP
40.126.14.162,Idle,Unknown,Australia,49736,443,,TCP
40.126.14.162,Idle,Unknown,Australia,49735,443,,TCP
13.107.42.16,Idle,Unknown,Canada,49734,443,,TCP
23.58.197.94,OneDrive,a23-58-197-94.deploy.static.akamaitechnologies.com,Australia,49733,443,C:\Users\Test-Lab\AppData\Local\Microsoft\OneDrive\OneDrive.exe,TCP
204.79.197.203,Idle,a-0003.a-msedge.net,Canada,49729,443,,TCP
65.8.33.71,Idle,server-65-8-33-71.mel50.r.cloudfront.net,Australia,49726,443,,TCP
52.231.230.148,Idle,Unknown,South Korea,49725,443,,TCP
204.79.197.237,Idle,Unknown,Canada,49724,443,,TCP
13.107.246.32,Idle,Unknown,Canada,49719,443,,TCP
131.253.33.239,Idle,Unknown,United States,49718,443,,TCP
131.253.33.239,Idle,Unknown,United States,49717,443,,TCP
13.107.42.16,Idle,Unknown,Canada,49716,443,,TCP
131.253.33.203,Idle,a-0003.dc-msedge.net,United States,49715,443,,TCP
20.190.167.22,Idle,Unknown,Australia,49711,443,,TCP
20.190.167.22,Idle,Unknown,Australia,49710,443,,TCP
23.58.196.158,LockApp,a23-58-196-158.deploy.static.akamaitechnologies.com,Australia,49709,443,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,TCP
23.62.8.74,LockApp,a23-62-8-74.deploy.static.akamaitechnologies.com,Australia,49708,443,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,TCP
23.62.8.74,explorer,a23-62-8-74.deploy.static.akamaitechnologies.com,Australia,49706,443,C:\Windows\Explorer.EXE,TCP
52.230.60.54,Idle,Unknown,Singapore,49705,443,,TCP
23.62.8.74,Widgets,a23-62-8-74.deploy.static.akamaitechnologies.com,Australia,49703,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
20.249.177.218,Idle,Unknown,South Korea,49702,443,,TCP
52.109.56.130,StartMenuExperienceHost,Unknown,India,49701,443,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,TCP
20.24.249.45,StartMenuExperienceHost,Unknown,Hong Kong,49700,443,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,TCP
20.24.249.45,StartMenuExperienceHost,Unknown,Hong Kong,49699,443,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,TCP
52.109.52.131,StartMenuExperienceHost,Unknown,Japan,49697,443,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe,TCP
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49695,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49694,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49693,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
204.79.197.203,Widgets,a-0003.a-msedge.net,Canada,49692,443,C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.18500.10.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe,TCP
20.24.249.45,Idle,Unknown,Hong Kong,49691,443,,TCP
52.226.139.121,svchost,Unknown,United States,49689,443,C:\Windows\system32\svchost.exe,TCP
20.50.73.10,MpDefenderCoreService,Unknown,Ireland,49687,443,,TCP
