Logon Time,User Name,Domain,Logon Type,Status
08/22/2024 21:50:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:47:51,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:47:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:47:19,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:47:19,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:46:34,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:46:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:44,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:44,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:41,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:41,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:45:41,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:45:40,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:39,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:34,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:34,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:31,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:29,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:28,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:26,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:25,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:22,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:18,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:45:18,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:45:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:16,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:16,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:12,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:11,LOCAL SERVICE,NT AUTHORITY,Service,Success
08/22/2024 21:45:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:11,DWM-1,Window Manager,Interactive (Local Logon),Success
08/22/2024 21:45:11,DWM-1,Window Manager,Interactive (Local Logon),Success
08/22/2024 21:45:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:11,NETWORK SERVICE,NT AUTHORITY,Service,Success
08/22/2024 21:45:10,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:45:10,UMFD-1,Font Driver Host,Interactive (Local Logon),Success
08/22/2024 21:45:10,UMFD-0,Font Driver Host,Interactive (Local Logon),Success
08/22/2024 21:45:10,SYSTEM,NT AUTHORITY,Unknown,Success
08/22/2024 21:43:30,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:29,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:43:29,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 21:43:26,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:25,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:24,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:23,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:23,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:21,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 21:43:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:39:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:38:42,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:38:41,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:36:17,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:34:20,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:34:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:34:10,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:34:07,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:35,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:14,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:14,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:14,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:33:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:28:45,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:25:41,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:25:40,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:25:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:25:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:24:11,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:24:04,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:59,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:53,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:47,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:47,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:43,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:43,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 14:23:43,Test-Lab,DESKTOP-8CIK9L4,Interactive (Local Logon),Success
08/22/2024 14:23:40,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:35,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:30,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:30,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:29,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:29,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:26,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:24,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:23,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:22,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:21,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:19,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:15,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:15,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:13,SYSTEM,NT AUTHORITY,Service,Success
08/22/2024 14:23:13,SYSTEM,NT AUTHORITY,Service,Success
